movieTitle_year,singer_name,gender,song_count
Nasihat_1986,Asha Bhonsle,FEMALE,6
Nasihat_1986,Asha Bhosle,FEMALE,1
Nasihat_1986,Kishore Kumar,MALE,8
Nasihat_1986,Alka Yagnik,FEMALE,4
Nasihat_1986,Mahendra Kapoor,MALE,1
Nasihat_1986,Nasihat,UNKNOWN,2
Nasihat_1986,Sadhana Sargam,FEMALE,2
Prem Pujari_1970,Lata Mangeshkar,FEMALE,4
Prem Pujari_1970,Kishore Kumar,MALE,5
Prem Pujari_1970,Mohammed Rafi,MALE,1
Prem Pujari_1970,Manna Dey,MALE,1
Prem Pujari_1970,Sachin Dev Burman,MALE,1
Prem Pujari_1970,Bhupinder Singh (musician),UNKNOWN,1
Palay Khan (film)_1986,Asha Bhosle,FEMALE,2
Palay Khan (film)_1986,Suresh Wadkar,MALE,2
Palay Khan (film)_1986,Lata Mangeshkar,FEMALE,3
Palay Khan (film)_1986,Kishore Kumar,MALE,1
Purab Aur Paschim_1970,Mahendra Kapoor,MALE,6
Purab Aur Paschim_1970,Mukesh (singer),MALE,1
Purab Aur Paschim_1970,KBK Indian graphic news agency,MALE,1
Purab Aur Paschim_1970,Hemanta Mukherjee,MALE,1
Purab Aur Paschim_1970,Lata Mangeshkar,FEMALE,1
Purab Aur Paschim_1970,Manhar Udhas,UNKNOWN,2
Purab Aur Paschim_1970,Asha Bhosle,FEMALE,1
Puraskar_1970,Asha Bhosle,FEMALE,4
Puraskar_1970,Mukesh (singer),MALE,2
Puraskar_1970,Mahendra Kapoor,MALE,1
Patton Ki Bazi_1986,Asha Bhosle,FEMALE,10
Patton Ki Bazi_1986,Anup Jalota,UNKNOWN,3
Patton Ki Bazi_1986,Udit Narayan,MALE,2
Patton Ki Bazi_1986,Kishore Kumar,MALE,2
Raaton Ka Raja_1970,Mohammed Rafi,MALE,4
Raaton Ka Raja_1970,Asha Bhosle,FEMALE,2
Raaton Ka Raja_1970,Mahendra Kapoor,MALE,1
Raaton Ka Raja_1970,Shamshad Begum,FEMALE,1
Raaton Ka Raja_1970,Lata Mangeshkar,FEMALE,2
Pyaar Ke Do Pal_1986,Kavita Krishnamurthy,FEMALE,2
Pyaar Ke Do Pal_1986,Pyaar Ke Do Pal,UNKNOWN,1
Rootha Na Karo_1970,Mohammed Rafi,MALE,3
