movie-name,year-of-release,trailer,movie
housefull_2,2012,1,0
bajirao_mastani,2015,1,0
action_replayy,2010,1,0
hisss,2010,1,0
shree,2013,1,0
ekkees_toppon_ki_salaami,2014,1,0
aashiqui_2,2013,1,0
money_hai_toh_honey_hai,2008,1,0
hai_apna_dil_toh_awara,2016,1,0
bhopal:_a_prayer_for_rain,2014,1,0
firaaq,2009,1,0
lucky_kabootar,2014,1,0
once_upon_a_time_in_mumbai_doobara!,2013,1,0
kis_kisko_pyaar_karoon,2015,1,0
the_stoneman_murders,2009,1,0
akira,2016,1,0
bombay_velvet,2015,1,0
jal,2014,1,0
roadside_romeo,2008,1,0
antardwand,2010,1,0
1920,2008,1,0
ishq_junoon,2016,1,0
youngistaam,2014,1,0
heartless,2014,1,0
gour_hari_dastaan,2015,1,0
fatso!,2012,1,0
yadvi_,2017,1,0
ghost,2012,1,0
bollywood_diaries,2016,1,0
x,2015,1,0
baby,2015,1,0
mr,2008,1,0
rocket_singh:_salesman_of_the_year,2009,1,0
mom,2017,1,0
mumbai_mirror,2013,1,0
marries_2_america,2012,1,0
tutak_tutak_tutiya,2016,1,0
anna,2016,1,0
barkhaa,2015,1,0
khap,2011,1,0
roar_,2014,1,0
anuradha,2014,1,0
trump_card,2010,1,0
one_two_three,2008,1,0
dongri_ka_raja,2016,1,0
ittefaq,2017,1,0
heroine,2012,1,0
sultan,2016,1,0
speedy_singhs,2011,1,0
nasha,2013,1,0
soch_lo,2010,1,0
luv_u_soniyo,2013,1,0
a_death_in_the_gunj,2017,1,0
damadamm!,2011,1,0
dulha_mil_gaya,2010,1,0
hawaizaada,2015,1,0
dilwale,2015,1,0
brothers,2015,1,0
ragini_mms,2011,1,0
mumbhai_connection,2014,1,0
gulabi_gang,2014,1,0
sadiyaan,2010,1,0
happy_ending,2014,1,0
desi_boyz,2011,1,0
bubble_gum,2011,1,0
rustom,2016,1,0
john_day,2013,1,0
simran,2017,1,0
ishq_click,2016,1,0
oye_lucky!_lucky_oye!,2008,1,0
titoo_mba,2014,1,0
angel,2011,1,0
arjun:_the_warrior_prince,2012,1,0
aurangzeb,2013,1,0
krazzy_4,2008,1,0
meine_ek_ladki_chaahiye,2014,1,0
wake_up_sid,2009,1,0
banjo,2016,1,0
kahi_hai_mera_pyar,2014,1,0
drishyam,2015,1,0
kajarya,2015,1,0
little_zizou,2009,1,0
murder_2,2011,1,0
the_waiting_room,2010,1,0
behen_hogi_teri,2017,1,0
ra,2011,1,0
luck_by_chance,2009,1,0
welcome_back,2015,1,0
begum_jaan,2017,1,0
phillauri,2017,1,0
new_york,2009,1,0
players,2012,1,0
warning,2013,1,0
ranbanka,2015,1,0
sadda_adda,2012,1,0
loveshhuda,2016,1,0
housefull_3,2016,1,0
